"id","citekey","doi","topic","oa_status","full_text_status","pdf_file","source_url","note"
"36","PolitBeckOwen2007","10.1002/nur.20147","measurement_validation","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"37","McNeish2018","10.1037/met0000144","measurement_validation","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"38","PutnickBornstein2016","10.1016/j.dr.2016.06.004","measurement_validation","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"39","KooLi2016","10.1016/j.jcm.2016.02.012","measurement_validation","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"40","Lim2022","10.1016/j.chb.2022.107547","adaptive_scaffolding","previously_verified","downloaded","40_Lim2022.pdf","","Existing verified file retained."
"41","Molenaar2022","10.1016/j.chb.2022.107540","self_regulated_learning","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"42","Fan2022TraceValidity","10.1007/s11409-022-09291-1","measurement_validation","previously_verified","downloaded","42_Fan2022TraceValidity.pdf","","Existing verified file retained."
"43","GiannakosCukurova2023","10.1111/bjet.13320","multimodal_learning_analytics","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"44","Ouhaichi2023","10.1016/j.caeai.2023.100136","multimodal_learning_analytics","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"45","Worsley2021","10.18608/jla.2021.7361","multimodal_learning_analytics","previously_verified","downloaded","45_Worsley2021.pdf","","Existing verified file retained."
"46","Alfredo2024","10.1016/j.caeai.2024.100215","human_centred_analytics","previously_verified","downloaded","46_Alfredo2024.pdf","","Existing verified file retained."
"47","PaulsenLindsay2024","10.1007/s10639-023-12401-4","learning_analytics_dashboard","previously_verified","downloaded","47_PaulsenLindsay2024.pdf","","Existing verified file retained."
"48","Susnjak2022","10.1186/s41239-021-00313-7","learning_analytics_dashboard","previously_verified","downloaded","48_Susnjak2022.pdf","","Existing verified file retained."
"49","Silvola2021","10.1016/j.compedu.2021.104192","student_engagement","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"50","Jovanovic2021","10.1016/j.compedu.2021.104251","predictive_analytics","previously_verified","downloaded","50_Jovanovic2021.pdf","","Existing verified file retained."
"51","Darvishi2023Agency","10.1016/j.compedu.2023.104967","human_ai_interaction","previously_verified","downloaded","51_Darvishi2023Agency.pdf","","Existing verified file retained."
"52","Cavalcanti2021","10.1016/j.caeai.2021.100027","formative_feedback","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"53","Darvishi2022Peer","10.1111/bjet.13233","peer_assessment","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"54","Hopfenbeck2023","10.3389/feduc.2023.1270700","formative_assessment","previously_verified","downloaded","54_Hopfenbeck2023.pdf","","Existing verified file retained."
"55","Topping2025","10.1186/s41239-024-00501-1","peer_assessment","previously_verified","downloaded","55_Topping2025.pdf","","Existing verified file retained."
"56","Holmes2021","10.1007/s40593-021-00239-1","responsible_ai","previously_verified","downloaded","56_Holmes2021.pdf","","Existing verified file retained."
"57","AkgunGreenhow2021","10.1007/s43681-021-00096-7","responsible_ai","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"58","KizilcecLee2022","10.4324/9780429329067-10","fairness","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"59","JiangPardos2021","10.1145/3461702.3462623","fairness","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"60","Simbeck2023","10.1007/s43681-023-00292-7","learning_analytics_audit","previously_verified","downloaded","60_Simbeck2023.pdf","","Existing verified file retained."
"61","Cukurova2024","10.1111/bjet.13514","hybrid_intelligence","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"62","MosqueiraRey2022","10.1007/s10462-022-10246-w","human_in_the_loop","previously_verified","downloaded","62_MosqueiraRey2022.pdf","","Existing verified file retained."
"63","Lin2023ITS","10.1186/s40561-023-00260-y","adaptive_learning","previously_verified","downloaded","63_Lin2023ITS.pdf","","Existing verified file retained."
"64","DeMooij2025","10.1007/s10648-025-10028-0","self_regulated_learning","previously_verified","downloaded","64_DeMooij2025.pdf","","Existing verified file retained."
"65","Sharma2024","10.1111/bjet.13459","collaborative_regulation","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"66","Ouyang2023","10.1186/s41239-022-00372-4","predictive_analytics","previously_verified","downloaded","66_Ouyang2023.pdf","","Existing verified file retained."
"67","Sghir2023","10.1007/s10639-022-11536-0","predictive_analytics","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"68","Albreiki2021","10.3390/educsci11090552","predictive_analytics","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"69","Liang2022","10.1080/10494820.2022.2121730","algorithmic_grouping","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"70","VallesCatala2023","10.1371/journal.pone.0280604","algorithmic_grouping","previously_verified","downloaded","70_VallesCatala2023.pdf","","Existing verified file retained."
"71","Fan2022Multichannel","10.1007/s11409-022-09304-z","measurement_validation","previously_verified","downloaded","71_Fan2022Multichannel.pdf","","Existing verified file retained."
"72","Cloude2022","10.3389/feduc.2022.928632","multimodal_learning_analytics","previously_verified","downloaded","72_Cloude2022.pdf","","Existing verified file retained."
"73","Jin2023","10.1186/s41239-023-00406-5","self_regulated_learning","previously_verified","downloaded","73_Jin2023.pdf","","Existing verified file retained."
"74","Molenaar2022Hybrid","10.1111/ejed.12527","hybrid_intelligence","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"75","Azevedo2022","10.3389/fpsyg.2022.813632","adaptive_scaffolding","previously_verified","downloaded","75_Azevedo2022.pdf","","Existing verified file retained."
"76","Seufert2026","10.1007/s10648-026-10119-6","self_regulated_learning","previously_verified","downloaded","76_Seufert2026.pdf","","Existing verified file retained."
"77","Wong2026Engagement","10.1007/s11423-026-10586-2","student_engagement","previously_verified","downloaded","77_Wong2026Engagement.pdf","","Existing verified file retained."
"78","Futterer2026","10.1007/s10648-026-10133-8","self_regulated_learning","previously_verified","downloaded","78_Futterer2026.pdf","","Existing verified file retained."
"79","BrunnerKarlen2026","10.1007/s11409-026-09469-x","measurement_validation","previously_verified","downloaded","79_BrunnerKarlen2026.pdf","","Existing verified file retained."
"80","Yilmaz2026","10.1007/s11423-026-10595-1","adaptive_scaffolding","previously_verified","downloaded","80_Yilmaz2026.pdf","","Existing verified file retained."
"81","Lamsa2026","10.1007/s10648-025-10113-4","multimodal_learning_analytics","previously_verified","downloaded","81_Lamsa2026.pdf","","Existing verified file retained."
"82","Paavilainen2026","10.1186/s40561-026-00453-1","collaborative_regulation","previously_verified","downloaded","82_Paavilainen2026.pdf","","Existing verified file retained."
"83","JacobsWallach2021","10.1145/3442188.3445901","measurement_fairness","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"84","CatonHaas2024","10.1145/3616865","algorithmic_fairness","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"85","KapoorNarayanan2023","10.1016/j.patter.2023.100804","prediction_validity","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"86","VanCalster2023","10.1186/s12916-023-02779-w","external_validation","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"87","Collins2024TripodAI","10.1136/bmj-2023-078378","prediction_reporting","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"88","Moons2025ProbastAI","10.1136/bmj-2024-082505","risk_of_bias","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"89","JarvelaHadwin2024","10.1016/j.lindif.2024.102526","self_regulated_learning","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"90","SalibasicGlamocic2021","10.1103/physrevphyseducres.17.010105","item_bank","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"91","Hao2024AssessmentAI","10.1111/emip.12602","ai_assessment","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"92","Kaldaras2024","10.3389/feduc.2024.1399377","ai_assessment_validity","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"93","Arslan2024","10.3389/frai.2024.1460651","personalized_assessment","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"94","Tiukhova2024","10.1016/j.dss.2024.114229","explanation_stability","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"95","Weidlich2022","10.18608/jla.2022.7577","causal_inference","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"96","Possaghi2025","10.1186/s40561-025-00410-4","k12_dashboard","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"97","Francis2023Privacy","10.18608/jla.2023.7975","student_privacy","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"98","Prinsloo2022Privacy","10.1111/bjet.13216","student_privacy","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"99","BlumeSchmiedek2024","10.1016/j.learninstruc.2024.101908","within_person_analysis","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"100","Sonnleitner2025","10.1016/j.caeai.2025.100369","concept_drift","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"101","Michos2023","10.1007/s10639-023-11772-y","teacher_data_literacy","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"102","Kaveri2023","10.18608/jla.2023.7729","student_agency","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"103","Mohseni2024","10.18608/jla.2024.8309","k12_visual_analytics","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"104","WeydnerVolkmann2024","10.18608/jla.2024.8313","student_autonomy","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
"105","Park2022Adaptive","10.1111/bjet.13287","adaptive_dashboard","unknown","metadata_only","","","远程服务器返回错误: (429) Too Many Requests。"
