id,citekey,doi,topic
81,Lamsa2026,10.1007/s10648-025-10113-4,multimodal_learning_analytics
82,Paavilainen2026,10.1186/s40561-026-00453-1,collaborative_regulation
83,JacobsWallach2021,10.1145/3442188.3445901,measurement_fairness
84,CatonHaas2024,10.1145/3616865,algorithmic_fairness
85,KapoorNarayanan2023,10.1016/j.patter.2023.100804,prediction_validity
86,VanCalster2023,10.1186/s12916-023-02779-w,external_validation
87,Collins2024TripodAI,10.1136/bmj-2023-078378,prediction_reporting
88,Moons2025ProbastAI,10.1136/bmj-2024-082505,risk_of_bias
89,JarvelaHadwin2024,10.1016/j.lindif.2024.102526,self_regulated_learning
90,SalibasicGlamocic2021,10.1103/physrevphyseducres.17.010105,item_bank
91,Hao2024AssessmentAI,10.1111/emip.12602,ai_assessment
92,Kaldaras2024,10.3389/feduc.2024.1399377,ai_assessment_validity
93,Arslan2024,10.3389/frai.2024.1460651,personalized_assessment
94,Tiukhova2024,10.1016/j.dss.2024.114229,explanation_stability
95,Weidlich2022,10.18608/jla.2022.7577,causal_inference
96,Possaghi2025,10.1186/s40561-025-00410-4,k12_dashboard
97,Francis2023Privacy,10.18608/jla.2023.7975,student_privacy
98,Prinsloo2022Privacy,10.1111/bjet.13216,student_privacy
99,BlumeSchmiedek2024,10.1016/j.learninstruc.2024.101908,within_person_analysis
100,Sonnleitner2025,10.1016/j.caeai.2025.100369,concept_drift
101,Michos2023,10.1007/s10639-023-11772-y,teacher_data_literacy
102,Kaveri2023,10.18608/jla.2023.7729,student_agency
103,Mohseni2024,10.18608/jla.2024.8309,k12_visual_analytics
104,WeydnerVolkmann2024,10.18608/jla.2024.8313,student_autonomy
105,Park2022Adaptive,10.1111/bjet.13287,adaptive_dashboard
